Name,Nationality,nationality_match_source,Nationality_bucket,Transfer_fee_in_mln,log_transfer_fee,fee_minus_value,Market_value_in_mln,potential,market_value_per_potential,position_bucket,league_country_to,nationality_matches_league_to,League_to,age_bucket,is_top_club_to,is_top_league,high_overall
Fernando,Brazil,fallback_lastname_season,Top 1-15,8.0,2.1972245773362196,-1.0,9.0,84.0,0.10714285714285714,Midfielder,Italy,False,Serie A,20-23,False,True,True
Luiz Adriano,Brazil,fallback_lastname_season,Top 1-15,8.0,2.1972245773362196,-0.5,8.5,77.0,0.11038961038961038,Forward,Italy,False,Serie A,27-29,True,True,True
Jeison Murillo,Colombia,fallback_team_from,Top 1-15,8.0,2.1972245773362196,0.0,8.0,78.0,0.10256410256410256,Defender,Italy,False,Serie A,20-23,True,True,False
,Spain,fallback_team_from,Top 1-15,8.0,2.1972245773362196,0.5,7.5,74.0,0.10135135135135136,Winger,Spain,True,LaLiga,<20,True,True,False
Steven Nzonzi,,unresolved,Outside Top 45,8.0,2.1972245773362196,0.5,7.5,79.0,0.0949367088607595,Midfielder,Spain,,LaLiga,24-26,True,True,False
,Argentina,fallback_team_from,Top 1-15,8.0,2.1972245773362196,1.0,7.0,79.0,0.08860759493670886,Midfielder,Spain,False,LaLiga,20-23,True,True,False
Joselu,Spain,fallback_team_from,Top 1-15,8.0,2.1972245773362196,2.0,6.0,78.0,0.07692307692307693,Forward,England,False,Premier League,24-26,False,True,False
Admir Mehmedi,Switzerland,fallback_team_from,Top 1-15,8.0,2.1972245773362196,2.0,6.0,80.0,0.075,Forward,Germany,False,1.Bundesliga,20-23,False,True,True
Davie Selke,Germany,fallback_lastname_season,Top 1-15,8.0,2.1972245773362196,3.0,5.0,77.0,0.06493506493506493,Forward,Germany,True,2.Bundesliga,<20,False,False,False
Alberto Grassi,Italy,fallback_team_from,Top 1-15,8.0,2.1972245773362196,6.0,2.0,71.0,0.028169014084507043,Midfielder,Italy,True,Serie A,<20,False,True,False
Rolando Mandragora,Italy,fallback_team_from,Top 1-15,8.0,2.1972245773362196,6.0,2.0,75.0,0.02666666666666667,Midfielder,Italy,True,Serie A,<20,True,True,False
Stewart Downing,England,fallback_lastname_season,Top 1-15,7.9,2.186051276738094,1.9000000000000004,6.0,77.0,0.07792207792207792,Midfielder,England,True,Championship,30+,False,True,True
Simon Kjær,Denmark,fallback_team_from,Top 16-30,7.65,2.157559320943788,-0.34999999999999964,8.0,81.0,0.09876543209876543,Defender,,,Süper Lig,24-26,False,False,True
Lucas Ocampos,Argentina,fallback_lastname_season,Top 1-15,7.5,2.1400661634962708,1.0,6.5,80.0,0.08125,Winger,France,False,Ligue 1,<20,False,True,False
,Mexico,fallback_lastname_season,Top 1-15,7.3,2.1162555148025524,4.3,3.0,75.0,0.04,Midfielder,Mexico,True,Liga MX Clausura,24-26,False,False,False
Jonathas,Brazil,fallback_team_from,Top 1-15,7.2,2.1041341542702074,1.2000000000000002,6.0,76.0,0.07894736842105263,Forward,Spain,False,LaLiga,24-26,False,True,False
Patrick Roberts,England,fallback_team_from,Top 1-15,7.2,2.1041341542702074,4.7,2.5,83.0,0.030120481927710843,Winger,England,True,Premier League,<20,True,True,False
Lima,Brazil,fallback_lastname_season,Top 1-15,7.0,2.0794415416798357,-1.0,8.0,78.0,0.10256410256410256,Forward,United Arab Emirates,False,UAE Gulf League,30+,False,False,True
Iago Falque,Spain,fallback_team_from,Top 1-15,7.0,2.0794415416798357,-1.0,8.0,77.0,0.1038961038961039,Winger,Italy,False,Serie A,24-26,True,True,False
Gökhan Inler,Switzerland,fallback_lastname_season,Top 1-15,7.0,2.0794415416798357,-0.5,7.5,79.0,0.0949367088607595,Midfielder,England,False,Premier League,30+,True,True,True
Jefferson Farfán,Peru,fallback_team_from,Top 16-30,7.0,2.0794415416798357,0.0,7.0,83.0,0.08433734939759036,Winger,United Arab Emirates,False,UAE Gulf League,27-29,False,False,True
,Spain,fallback_team_from,Top 1-15,7.0,2.0794415416798357,0.0,7.0,75.0,0.09333333333333334,Winger,England,False,Premier League,20-23,False,True,False
Mathew Ryan,Australia,fallback_lastname_season,Outside Top 45,7.0,2.0794415416798357,0.0,7.0,79.0,0.08860759493670886,Goalkeeper,Spain,False,LaLiga,20-23,True,True,False
Vlad Chiriches,Romania,fallback_lastname_season,Outside Top 45,7.0,2.0794415416798357,1.0,6.0,80.0,0.075,Defender,Italy,False,Serie A,24-26,False,True,True
Grégoire Defrel,France,fallback_lastname_season,Top 1-15,7.0,2.0794415416798357,1.0,6.0,71.0,0.08450704225352113,Forward,Italy,False,Serie A,20-23,False,True,False
Yohan Benalouane,Tunisia,fallback_team_from,Outside Top 45,7.0,2.0794415416798357,5.7,1.3,76.0,0.017105263157894738,Defender,England,False,Premier League,27-29,True,True,False
Naif Hazazi,Saudi Arabia,fallback_lastname_season,Outside Top 45,6.8,2.0541237336955462,5.8,1.0,74.0,0.013513513513513514,Forward,Saudi Arabia,True,Professional League,24-26,False,False,False
Tom Ince,England,fallback_team_from,Top 1-15,6.7,2.0412203288596382,0.20000000000000018,6.5,79.0,0.08227848101265822,Winger,England,True,Championship,20-23,False,True,False
