Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Forward,31,Arsenal,Premier League,Chelsea,Premier League,2017,17.0,20.0,Giroud,Arsenal,83.0,83.0,2017.0,Olivier Giroud,France,fallback_team_from,2.8903717578961645,-3.0,0.24096385542168675,Top 1-15,15.1,31.0,30+,Forward,England,False,True,True,True
Centre-Back,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2017,17.0,15.0,Ginter,Bor. Dortmund,77.0,82.0,2017.0,Matthias Ginter,Germany,fallback_lastname_season,2.8903717578961645,2.0,0.18292682926829268,Top 1-15,12.0,12.25,20-23,Defender,Germany,True,True,False,True
Centre-Back,24,Hertha BSC,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2017,17.0,14.0,Brooks,Hertha BSC,79.0,85.0,2017.0,John Anthony Brooks,United States,fallback_team_from,2.8903717578961645,3.0,0.16470588235294117,Outside Top 45,12.0,11.75,20-23,Defender,Germany,False,True,True,True
Forward,24,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017,17.0,8.5,Locadia,PSV Eindhoven,76.0,81.0,2017.0,Jürgen Locadia,Netherlands,fallback_lastname_season,2.8903717578961645,8.5,0.10493827160493827,Top 1-15,15.1,15.95,20-23,Forward,England,False,True,False,True
Defensive Midfield,23,Juventus,Serie A,Southampton,Premier League,2017,17.0,7.5,Lemina,Juventus,77.0,83.0,2017.0,Mario Lemina,Gabon,fallback_team_from,2.8903717578961645,9.5,0.09036144578313253,Top 31-45,15.1,16.4,20-23,Midfielder,England,False,True,False,True
Forward,24,1.FSV Mainz 05,1.Bundesliga,1. FC Koln,1.Bundesliga,2017,17.0,7.0,Cordoba,1.FSV Mainz 05,77.0,82.0,2017.0,,Colombia,fallback_lastname_season,2.8903717578961645,10.0,0.08536585365853659,Top 1-15,12.0,17.0,20-23,Forward,Germany,False,True,False,True
Left Winger,19,FC Metz,Ligue 1,Stade Rennais,Ligue 1,2017,17.0,2.5,Sarr,FC Metz,60.0,77.0,2017.0,Ismaïla Sarr,Senegal,fallback_team_from,2.8903717578961645,14.5,0.032467532467532464,Top 16-30,10.0,9.5,<20,Winger,France,False,False,False,True
Attacking Midfield,24,Everton,Premier League,Chelsea,Premier League,2017,16.9,25.0,Barkley,Everton,81.0,89.0,2017.0,Ross Barkley,England,fallback_team_from,2.884800712846709,-8.100000000000001,0.2808988764044944,Top 1-15,15.1,31.0,20-23,Midfielder,England,True,True,True,True
Central Midfield,20,Real Betis,LaLiga,Real Madrid,LaLiga,2017,16.5,10.0,Ceballos,Real Betis,77.0,85.0,2017.0,Dani Ceballos,Spain,fallback_team_from,2.8622008809294686,6.5,0.11764705882352941,Top 1-15,13.75,30.0,<20,Midfielder,Spain,True,True,False,True
Centre-Back,23,Lazio,Serie A,Southampton,Premier League,2017,16.4,7.5,Hoedt,Lazio,76.0,82.0,2017.0,Wesley Hoedt,Netherlands,fallback_team_from,2.856470206220483,8.899999999999999,0.09146341463414634,Top 1-15,15.1,16.4,20-23,Defender,England,False,True,False,True
Forward,25,Leeds,Championship,Burnley,Premier League,2017,16.4,6.0,Wood,Leeds,72.0,75.0,2017.0,Chris Wood,United States,fallback_lastname_season,2.856470206220483,10.399999999999999,0.08,Outside Top 45,15.1,12.100000000000001,24-26,Forward,England,False,False,False,True
